subject,group,trial,error
EC_002,EC,1,3.0956249961
EC_002,EC,2,-1.6404166646
EC_002,EC,3,13.6260416495
EC_002,EC,4,-2.8839583297
EC_002,EC,5,3.7570833286
EC_002,EC,6,4.7889583273000005
EC_002,EC,7,2.2224999972
EC_002,EC,8,0.793749999
EC_002,EC,9,1.5610416647
EC_002,EC,10,3.0162499962
EC_002,EC,11,0.8995833322000001
EC_002,EC,12,4.6037499942
EC_002,EC,13,4.1010416615
EC_002,EC,14,0.9524999988
EC_002,EC,15,0.7408333324
EC_002,EC,16,1.852083331
EC_002,EC,17,4.1274999948
EC_002,EC,18,1.2964583317
EC_002,EC,19,7.1702083243
EC_002,EC,20,-0.2116666664
EC_002,EC,21,-0.7143749991
EC_002,EC,22,4.6037499942
EC_002,EC,23,2.3018749971
EC_002,EC,24,2.8574999964
EC_002,EC,25,1.587499998
EC_002,EC,26,3.704166662
EC_002,EC,27,-0.1852083331
EC_002,EC,28,1.852083331
EC_002,EC,29,2.9368749963000003
EC_002,EC,30,2.8310416631
EC_002,EC,31,3.8364583285
EC_002,EC,32,-0.5027083327
EC_002,EC,33,3.2279166626
EC_002,EC,34,-0.3704166662
EC_002,EC,35,0.7143749991
EC_002,EC,36,3.2543749959
EC_002,EC,37,2.8310416631
EC_002,EC,38,1.9314583309
EC_002,EC,39,3.3072916625
EC_002,EC,40,0.1852083331
EC_002,EC,41,1.7991666644000002
EC_002,EC,42,3.2543749959
EC_002,EC,43,2.8574999964
EC_002,EC,44,-1.3493749983
EC_002,EC,45,4.1010416615
EC_002,EC,46,0.9789583321
EC_002,EC,47,3.6247916621
EC_002,EC,48,1.852083331
EC_002,EC,49,0.4497916661
EC_002,EC,50,2.3018749971
EC_002,EC,51,1.1906249985
EC_002,EC,52,1.8785416643
EC_002,EC,53,3.4131249957
EC_002,EC,54,-0.1587499998
EC_002,EC,55,1.8785416643
EC_002,EC,56,6.0589583257
EC_002,EC,57,-1.6139583313
EC_002,EC,58,3.0956249961
EC_002,EC,59,-0.1058333332
EC_002,EC,60,6.138333325600001
EC_002,EC,61,0.4233333328
EC_002,EC,62,0.8202083323
EC_002,EC,63,2.6722916633
EC_002,EC,64,1.5345833314
EC_002,EC,65,4.2333333280000005
EC_002,EC,66,1.7991666644000002
EC_002,EC,67,2.3018749971
EC_002,EC,68,1.7462499978
EC_002,EC,69,1.6139583313
EC_002,EC,70,3.1485416627
EC_002,EC,71,5.0006249937
EC_002,EC,72,-1.3493749983
EC_002,EC,73,1.058333332
EC_002,EC,74,1.6139583313
EC_002,EC,75,2.5664583301
EC_002,EC,76,-1.0847916653
EC_002,EC,77,2.3812499970000003
EC_002,EC,78,0.6614583325000001
EC_002,EC,79,2.8310416631
