sim,group,true_beta_state,rec_beta_state,true_beta_obs,rec_beta_obs,true_r_sensory_base,rec_r_obs_base,waic
0,EC,1.2079982680624888,0.9968161050041455,-1.6520010791345958,-0.6841892923252286,1.5506177089423798,5.473829463359298,35493.083281592255
0,EO+,0.7065737922848941,0.6895772923240977,-0.47071234118373756,-0.4535730795358782,2.0032162245216885,5.387752535775469,35493.083281592255
0,EO-,0.299995183507035,-0.09859740695558472,0.01356902245522862,0.2312001041919764,2.0746228203629933,5.542032584569891,35493.083281592255
1,EC,1.0888493048841958,1.1594896902727707,-1.7666556676026999,-1.2686846542813437,1.5506177089423798,5.57112127798072,35252.764841032236
1,EO+,0.8158937028351086,0.1317587056329989,-0.43482030552323364,0.046429753471295514,2.0032162245216885,4.708844668774136,35252.764841032236
1,EO-,0.5077621576046847,0.6156361665702039,-0.06983814547709068,-0.12646328914922877,2.0746228203629933,5.753341939177545,35252.764841032236
2,EC,0.9188596689332709,0.9176917435780272,-1.1364007270698828,-0.8286526250892694,1.5506177089423798,5.532097610880236,35342.14591284778
2,EO+,0.5496140843960329,0.47002004491922894,-0.6327463684063082,-0.3810347945503486,2.0032162245216885,5.61870317766196,35342.14591284778
2,EO-,0.5378123273631404,0.12703603993502172,-0.05294121761932771,-0.0016058311202403635,2.0746228203629933,5.427802439824765,35342.14591284778
3,EC,1.0762250380032057,0.964303292763945,-1.422391078063164,-0.8598653925048425,1.5506177089423798,5.193539967788251,35381.6806656508
3,EO+,0.721826829291185,0.39902471704084364,-0.499868523072047,-0.0893688373275621,2.0032162245216885,5.162396791119071,35381.6806656508
3,EO-,0.41456882224714814,-0.6530053733385266,-0.052890868167189936,0.2977920811033097,2.0746228203629933,5.570243600236715,35381.6806656508
4,EC,1.0869406581655618,1.2081811705883736,-1.5921757345746632,-1.3494369816174752,1.5506177089423798,6.0586428589271915,35545.15056552902
4,EO+,0.8553910712211747,0.6517999471723475,-0.6371354145714024,-0.3469126924323625,2.0032162245216885,5.595015327860859,35545.15056552902
4,EO-,0.58923542425269,-0.4270643722888325,-0.16626448217273548,0.20798901694673597,2.0746228203629933,5.180009755731671,35545.15056552902
5,EC,1.08592206296917,1.280702752487866,-1.3133673719216197,-1.202184344721786,1.5506177089423798,6.464228474829638,35782.19451072873
5,EO+,0.667303013927905,0.5834125868981069,-0.42221792061944224,-0.18638331875152356,2.0032162245216885,5.262767876203329,35782.19451072873
5,EO-,0.5109676240837646,0.598557784170458,0.04408999668070993,-0.1403927949393349,2.0746228203629933,5.563911268596003,35782.19451072873
